paper_author,paper_title,paper_date,in_text_citation
"Tenwick, Jade; Saarinen, Hanna; von Stackelberg, Asta; Kowalzig, Jan; Elliot, Aideen; van der Steenhoven, Nick; Marzotto, Mia; Walsh, Garry; Flynn, Michael McCarthy; de Bock, Catherine; Nalbandian, Elise; Diaz, Mireia Perez; Helko, Suvi; Fernandez-Duran, Cristina; McGrath, Bríd",A Presidency Grounded in EU Values: Oxfam’s recommendations for the Irish Presidency of the Council of the European Union,2026,Tenwick et al. 2026
"Ghabash, Weam",Empowered or constrained? Transnational funds and feminist activism in (post-)conflict Syria,2026,Ghabash 2026
"Oula, Stephanie; Nowrojee, Sia",Where the future was built: fifty years of feminist advocacy at the United Nations,2026,Oula et al. 2026
"Safe Programming & Accountability, Ogb",Safe Programming in Humanitarian Responses: A guide to managing risk,2026,Safe Programming & Accountability 2026
"Canali De Castro, Nicole; Rivadeneira Moncada, Maria; Somerset, Laura; Weldegabre Sebehatu, Eyosaite",Building Disaster Resilient Communities Through Women’s Leadership,2026,Canali De Castro et al. 2026
"Scott, Rachel",Grand Bargain 10 Years on: Protecting quality under scarcity,2026,Scott 2026
"Bokpin, Godwin; Acheampong, Theophilus; Asuming, Patrick Opoku",Beyond Aid in Ghana,2025,Bokpin et al. 2025
"Abdulrazak, Ibrahim",Building a locally driven humanitarian future in Somalia,2025,Abdulrazak 2025
"Baldoumas, Abigael; Noor, Anila; Knox, Duncan; Smyth, Fionna; Kezie-Nwoha, Helen; Alabdeh, Maria; Sophie Pettersson, Marie","Beyond Rhetoric: Feminist leadership for a transformative Women, Peace and Security agenda at 25- Case studies from Colombia, the Democratic Republic of Congo, the Occupied Palestinian Territory and South Sudan",2025,Baldoumas et al. 2025
"Majale, Naomi; Duvisac, Sara","Changing Face of Aid in Africa: Outlook, failures, and reform potential",2025,Majale et al. 2025
OECD,Aid Effectiveness: A Progress Report on Implementing the Paris Declaration,2009,OECD 2009_1
"Gemsol Social, Business And Management Consult","Climate Financing, Institutional Structure, and Budget Tracing in Ethiopia",2025,Gemsol Social 2025
"Nocerino, Salvatore",Beyond the Targets: An ambitious agenda to put aid back on track,2025,Nocerino 2025
"Chirichetti, Jessica; Onduru, Erick",Together Against  Poverty Project Phase II Phase II Advocacy in Action: Stories of Change  and Learnings for the Future,2025,Chirichetti et al. 2025
"Robinson, Lawrence; van Roozendaal, Lou; van den Berg, Michelle",Better Safe Than Sorry: Four fundamentals for scaling up anticipatory action,2024,Robinson et al. 2024
"Greener, Charlotte","Two years at the forefront: Exploring the needs and experiences of women-led, women's rights, and LGBTQIA+ led organizations two years into the Ukraine humanitarian response",2024,Greener 2024
"Manlutac, Janice Ian; Kasumba, Joseph Mary","Locally Led Emergency Response Fund (LL-ERF) Project: Experiences from Bangladesh, Puerto Rico, and Uganda",2024,Manlutac et al. 2024
"Marriott, Anna",Sick Development: How rich-country government and World Bank funding to for-profit private hospitals causes harm and should be stopped,2023,Marriott 2023
"Hussain, Riaz",The Case for SDG 6 in a Post-Covid World: How targeted funding in water and sanitation can build resilience,2023,Hussain 2023
"Cohen, Marc J.; Coplin, Nathan; James-Finel, Marc",Does Aid to Domestic Revenue Mobilization Support Tax Fairness? A synthesis of Oxfam research,2023,Cohen et al. 2023
"Shrestha, Shreeju; Leighton, Joshua",The Group Cash Transfer (GCT) Approach,2023,Shrestha et al. 2023
OECD,Aid Effectiveness 2011: Progress in Implementing the Paris Declaration,2012,OECD 2012
"Duvisac, Sara",Decolonize! What does it mean?,2022,Duvisac 2022
"Saad, Saed; Read, Sonja; Mountfield, Ben",Linking Cash and Voucher Assistance with Social Protection: A case study in Gaza,2022,Saad et al. 2022
"Patchett, Hannah","Za'atari Refugee Camp, 10 Years On: Stalled ambitions and lost hope, but durable solutions are possible",2022,Patchett 2022
"Smart, Kristin; Shrestha, Shreeju",Delivering Better together: Standard Operating Procedures for Oxfam’s Approach to Cash and Voucher Assistance,2022,Smart et al. 2022
"Manlutac, Janice Ian","The State of Local Humanitarian Leadership: A learning report on a series of LHL online convenings held in Asia, the Middle East and Northern Africa, the Pacific, and West Africa",2022,Manlutac 2022_1
"Manlutac, Janice Ian","The State of Local Humanitarian Leadership: A learning report on a series of LHL online convenings held in Asia, the Middle East and Northern Africa, the Pacific, and West Africa",2022,Manlutac 2022_2
Oxfam,What can we learn? Case studies on the triple nexus in West Africa,2023,Oxfam 2023
"Tomlinson, Brian",Analyzing European Union Institutions’ Flows for Total Official Support for Sustainable Development (TOSSD),2022,Tomlinson 2022
"Tonny, Joseph",Empowering Local Governments? The LOKAL+ project in Haiti,2021,Tonny 2021
"Manlutac, Janice Ian",Funding the Frontline: How an Oxfam Emergency Response Fund facilitated local humanitarian action,2021,Manlutac 2021
MODERNIZING FOREIGN ASSISTANCE NETWORK,"MODERNIZING FOREIGN ASSISTANCE NETWORK. Consensus Principles & Recommendations for the Future of U.S. International Assistance. MFAN, 2025. https://www.modernizeaid.net/resources/bipartisan-leaders-launch-consensus-principles-to-guide-the-future-of-u-s-foreign-assistance.",2025,MODERNIZING FOREIGN ASSISTANCE NETWORK 2025
"Vera, Cesar Allan; Brusola-Vera, Ma. Lourdes; Felizco, Maria Rosario; Manlutac, Janice Ian",Local Humanitarian Leadership: The View from Local Actors,2021,Vera et al. 2021
"Sharma, Ritu",Foreign Aid 101: A quick and easy guide to understanding US foreign aid,2021,Sharma 2021
"Maeresera, Eleanor; Chikowore, Adrian",Will the Cure Bankrupt Us? Official Development Assistance and the COVID-19 Response in Southern African Countries,2020,Maeresera et al. 2020
"Cooper, Hannah",Funding the Humanitarian Response in Yemen: Are donors doing their fair share?,2020,Cooper 2020
"Seery, Emma",50 years of Broken Promises: The $5.7 trillion debt owed to the poorest people,2020,Seery 2020
"Gorevan, Daniel; Hemsley, Matthew; Sider, Rachel",Hard Lessons: Delivering assistance in government-held areas of Syria,2020,Gorevan et al. 2020
"Said-Foqahaa, Nader; Barghouti, Mariam; Said, Samer; Thue, Braden",Responsiveness of the Palestinian National Cash Programme to Shifting Vulnerabilities in the Gaza Strip,2020,Said-Foqahaa et al. 2020
"Seghers, Julie",Whatever It Takes: A rapid and massive increase in aid is needed to save millions of lives and bring our divided world together amid the coronavirus pandemic,2020,Seghers 2020
"Robillard, Sabina; Jean, Isabella; Gingerich, Tara; Mejía, Carlos Esteban; Farfan, Ledis Bohórquez; Grisgraber, Daryl; Joseph, Tonny; Maxwell, Daniel","Anchored in Local Reality: Case Studies on Local Humanitarian Action from Haiti, Colombia, and Iraq",2020,Robillard et al. 2020
Moderning Foreign Assistance Network,The Future of U.S. Development and Humanitarian Assistance: Recommendations for Influence and Impact,2025,Moderning Foreign Assistance Network 2025
"Clements, Mary Ann; Sweetman, Caroline",Introduction: Reimagining International Development,2020,Clements et al. 2020
"Wallace, Tina",Re-imagining development by (re)claiming feminist visions of development alternatives,2020,Wallace 2020
"Hug, Adam; Baldoumas, Abigael; Chakrabortty, Katy; Sriskandarajah, Danny",Finding Britain's Role in a Changing World: Building a values-based foreign policy,2020,Hug et al. 2020
"Grabowski, Aria; Essick, Parker",Are they really gender equality projects? An examination of donors’ gender-mainstreamed and gender-equality focused projects to assess the quality of gender-marked projects,2020,Grabowski et al. 2020
"Raty, Tuuli; Shilhav, Raphael",The EU Trust Fund for Africa: Trapped between aid policy and migration politics,2020,Raty et al. 2020
"Rust, Björn",Unblocked Cash: Piloting Accelerated Cash Transfer Delivery in Vanuatu,2019,Rust 2019
Oxfam,Financing for Development in Vietnam: After International Development Association (IDA) graduation,2019,Oxfam 2019_1
"Degnan, Chris; Kattakuzhy, Anita",Money Talks: Assessing funding flows to local and national actors in Uganda,2019,Degnan et al. 2019
Oxfam,UK Aid and Arms in Yemen,2019,Oxfam 2019_2
"Jeune, Hilary",Faith is Not Enough: Ensuring that aid donor-private sector partnerships contribute to sustainable development,2019,Jeune 2019
"LUGONES, MARÍA",Toward a Decolonial Feminism,2010,LUGONES 2010
"Moghadam, Val",What Might a Feminist Foreign Policy Look Like?,2020,Moghadam 2020
"True, Jacqui",The Political Economy of Violence against Women,2012,True 2012
"True, Jacqui","Explaining the global diffusion of the Women, Peace and Security agenda",2016,True 2016
"Johnson-Freese, Joan; True, Jacqui","Women, Peace, and Security: A competitive edge for Australia and the US",2021,Johnson-Freese et al. 2021
"Esteva, Gustavo; Prakash, Madhu Suri","Beyond Development, What? (Au-delà du développement, qu'y-a-t-il? / Além do desenvolvimento, o que acontece? / Mas allá del desarrollo, ¿Cómo?)",1998,Esteva et al. 1998
"Esteva, Gustavo; Escobar, Arturo","Post-Development @ 25: on ‘being stuck’ and moving forward, sideways, backward and otherwise",2017,Esteva et al. 2017
"Mignolo, Walter D.",INTRODUCTION: Coloniality of power and de-colonial thinking,2007,Mignolo 2007
"Narayanaswamy, Lata","Race, racialisation, and coloniality in the humanitarian aid sector",2024,Narayanaswamy 2024
"Cook, Sarah; Kabir, Naila",From economic growth to a wellbeing economy: notes for a feminist foreign policy,2023,Cook et al. 2023
"Slim, Hugo",Is racism part of our reluctance to localise humanitarian action?,2020,Slim 2020
"Slim, Hugo",Localization is Self-Determination,2021,Slim 2021
"Easterly, William",Was Development Assistance a Mistake?,2007,Easterly 2007_1
"Easterly, William",Are aid agencies improving?,2007,Easterly 2007_2
"Easterly, William; Pfutze, Tobias",Where Does the Money Go? Best and Worst Practices in Foreign Aid,2008,Easterly et al. 2008
Women's Refugee Commission,A year of harms: The impact of US foreign aid cuts on women and girls in humanitarian crises,2026,Women's Refugee Commission 2026
UN Women,At a breaking point: The impact of foreign aid cuts on women's organizations,2025,UN Women 2025
"Stern, Erin; Doyle, Kate; Levtov, Ruti; Heise, Lori",Unravelling progress: how US foreign aid cuts undermine global efforts to end violence against women,2026,Stern et al. 2026
"Endam Mbah, Ruth; Maddox Hardgrave, Caden; Engonwei Mbah, Drusilla; Nutt, Alyssa; G. Russell, Jordan","The Impact of USAID Budget Cuts on Global Development Initiatives: A Review of Challenges, Responses, and Implications",2025,Endam Mbah et al. 2025
"Duffield, Mark",Governing the Borderlands: Decoding the Power of Aid,2001,Duffield 2001
"Kabeer, Naila",Tracking the gender politics of the Millennium Development Goals: struggles for interpretive power in the international development agenda,2015,Kabeer 2015
"Duffield, Mark","Challenging environments: Danger, resilience and the aid industry",2012,Duffield 2012
"Duffield, Mark",NGO Relief in War Zones: Towards an Analysis of the New Aid Paradigm,1997,Duffield 1997
"Brabant, Koenraad Van; Patel, Smruti",Understanding the localisation debate,2021,Brabant et al. 2021
"Robillard, Sabina; Atim, Teddy; Maxwel, Daniel","Localization: A ""landscape"" report",2021,Robillard et al. 2021
"Mulder, Femke",The paradox of externally driven localisation: a case study on how local actors manage the contradictory legitimacy requirements of top-down bottom-up aid,2023,Mulder 2023
"Pearson, M.; Girling-Morris, F.; Nelson-Pollard, S.",Global Humanitarian Assistance Report,2025,Pearson et al. 2025
"Barbalet, Veronique","As local as possible, as international as necessary",2018,Barbalet 2018
"GINGERICH, TARA; COHEN, MARC J.",Turning the humanitarian system on its head,2015,GINGERICH et al. 2015
"Eyben, Rosalind",Hiding Relations: The Irony of ‘Effective Aid’,2010,Eyben 2010
"Dhanani, Priya; Flynn, Asher; True, Jacqui","Funding, Power, and Resistance: How International Aid Shapes Feminist Movements in Fiji",2026,Dhanani et al. 2026
Rosalind Eyben,"Power, mutual accountability and responsibility in the practice of international aid",2008,Eyben 2008
"Roepstorff, Kristina",A call for critical reflection on the localisation agenda in humanitarian action,2020,Roepstorff 2020
"Wall, Imogen; Hedlund, Kerren",Localisation and Locally-led Crisis Response: A Literature Review,2016,Wall et al. 2016
"Aloudat, Tammam; Khan, Themrise",Decolonising humanitarianism or humanitarian aid?,2022,Aloudat et al. 2022
"Khan, Themrise",Envisioning an alternative ecoystem for global development and humanitarianism,2003,Khan 2003
"Mohanty, Chandra Talpade",Feminism without Borders,2003,Mohanty 2003
"Hilhorst, Dorothea",Classical humanitarianism and resilience humanitarianism: making sense of two brands of humanitarian action,2018,Hilhorst 2018
"Whiteside, Alan",Dead aid: Why aid is not working and how there is a better way for Africa,2010,Whiteside 2010
"Batliwala, Srilatha",Taking the Power out of Empowerment: An Experiential Account,2007,Batliwala 2007
"Meernik, James; Krueger, Eric L.; Poe, Steven C.",Testing Models of U.S. Foreign Policy: Foreign Aid during and after the Cold War,1998,Meernik et al. 1998
"Finkel, Steven E.; Pérez-Liñán, Aníbal; Seligson, Mitchell A.","The Effects of U.S. Foreign Assistance on Democracy Building, 1990-2003",2007,Finkel et al. 2007
"Irvine, Jill A.",US Aid and gender equality: social movement vs civil society models of funding,2018,Irvine 2018
"Hindery, Leo; Sachs, Jeffrey D.; Smith, Gayle E.",Revamping U.S. Foreign Assistance,2008,Hindery et al. 2008
"Garrett, Laurie A.",The future of foreign assistance amid global economic and financial crisis,2009,Garrett 2009
"Bate, Roger",USAID's health challenge: improving US foreign assistance,2007,Bate 2007
"Sullivan, Denis J.",The Failure of U.S. Foreign Aid: An Examination of Causes and a Call for Reform,1996,Sullivan 1996
"Duggan, Christopher P.; Bhutta, Zulfiqar A.",“Putting America First” — Undermining Health for Populations at Home and Abroad,2025,Duggan et al. 2025
"Cornwall, Andrea; Nyamu-Musembi, Celestine",Putting the 'Rights-Based Approach' to Development into Perspective,2004,Cornwall et al. 2004
"Tarnoff, Curt",Foreign aid: An introduction overview of U.S. programs and policy,2018,Tarnoff 2018
"O’Donnell, Megan",The White House and the World: Restoring and Revitalizing US Leadership on Global Gender Equality and Inclusion,2020,O’Donnell 2020
"Sharma, Ritu",Foreign aid 101,2026,Sharma 2026
"Cornwall, Andrea; Edwards, Jenny",Introduction: Beijing+20 - Where now for Gender Equality?,2015,Cornwall et al. 2015
"Cornwall, Andrea",Taking off International Development's Straightjacket of Gender,2014,Cornwall 2014
"Cornwall, Andrea; Brock, Karen","What Do Buzzwords Do for Development Policy? A Critical Look at 'Participation', 'Empowerment' and 'Poverty Reduction'",2005,Cornwall et al. 2005
"Moyo, Dambisa",Dead aid,2010,Moyo 2010
"Alesina, Alberto; Dollar, David",Who gives foreign aid to whom and why?,2000,Alesina et al. 2000
"Bräutigam, Deborah; Knack, Stephen","Foreign aid, institutions, and governance in sub-Saharan Africa",2004,Bräutigam et al. 2004
"Boone, Peter",Politics and the effectiveness of foreign aid,1996,Boone 1996
"Natsios, Andrew",The Clash of the Counter-bureaucracy and Development,2011,Natsios 2011
"Riddell, Roger",Does foreign aid really work?,2008,Riddell 2008
"Edrees, A.; Azali, M.; Hassan, A.; Nor, N. M.","The impact of government spending, trade, foreign aid and foreign direct investment on poverty reduction in Africa: GMM estimation",2015,Edrees et al. 2015
"Irwin, Julia F.","Recasting the Pillars of US Foreign Disaster Assistance, 1939–1947",2024,Irwin 2024_1
"Irwin, Julia F.",Catastrophic Diplomacy: US Foreign Disaster Assistance in the American Century,2024,Irwin 2024_2
"Irwin, Julia F.",List of Abbreviations,2024,Irwin 2024_3
"Irwin, Julia F.",Notes,2024,Irwin 2024_4
"Irwin, Julia F.",List of Illustrations,2024,Irwin 2024_5
"Irwin, Julia F.","Disaster Assistance in the Decade of Development, 1961–1963",2024,Irwin 2024_6
"Horlings, Lg; Roep, D; Wellbrock, W",The role of leadership in place-based development and building institutional arrangements,2018,Horlings et al. 2018
"Buttler, Friedrich; Walwei, Ulrich",Different institutional arrangements for job placement,2005,Buttler et al. 2005
"Irwin, Julia F.","Stumbling toward Standardization, 1955–1960",2024,Irwin 2024_7
"IRWIN, JULIA F.","The Sun Never Sets, 1924–1931",2024,IRWIN 2024_1
"Anigbogu, Theresa Ukamaka; Edoko, Tonna David; Okoli, Ikechukwu Moses",Foreign direct investment and poverty reduction in Nigeria,2016,Anigbogu et al. 2016
"IRWIN, JULIA F.","New Mechanisms, New Motivations, 1948–1954",2024,IRWIN 2024_2
"Analysis, Gender Inequality And Equality: A Conceptual",Gender Inequality and Equality: A Conceptual Analysis,2024,Analysis 2024
"Roggeband, Conny; van Eerdewijk, Anouka; van der Vleuten, Anna",Reconceptualizing gender equality norm diffusion and regional governance: Logics and geometries,2014,Roggeband et al. 2014
"Fennell, Shailaja; Arnot, Madeleine",Gender education and equality in a global context,2008,Fennell et al. 2008
"Van Eerdewijk, Anouka; Roggeband, Conny",Gender equality norm diffusion and actor constellations: A first exploration,2014,Van Eerdewijk et al. 2014
"Zwingel, Susanne",padma,2019,Zwingel 2019
"Padma, R.; Bency, PB Beulahbel",Conceptual View on Gender Equality through Women Empowerment,2018,Padma et al. 2018
"Wudil, Adamu Ahmed; Saad, Norma MD; OMercic, Jasmin; Zakaria, Lacheheb; Muhammad, Rislanudeen","FOREIGN AID AND POVERTY REDUCTION IN DEVELOPING COUNTRIES: A SYSTEMATIC LITERATURE REVIEW. Conferencii,(6) 1",2023,Wudil et al. 2023
"Hybel, Alex Roberto","Intuition, Rationality, Mindsets, and Foreign Policy Decision-Making Models",2014,Hybel 2014
"Carati, Andrea; Locatelli, Andrea",152References,2025,Carati et al. 2025_1
"Carati, Andrea; Locatelli, Andrea",172Index,2025,Carati et al. 2025_2
"Carati, Andrea; Locatelli, Andrea",Contents,2025,Carati et al. 2025_3
"Carati, Andrea; Locatelli, Andrea","Taming the President: Trump, the Advisory System, and the Mechanisms of US Foreign Policy Decision-Making",2025,Carati et al. 2025_4
"Dibeh, Ghassan",8 Foreign Aid and Economic Development in Post‐war Lebanon,2010,Dibeh 2010
"Arndt, Channing; Jones, Sam; Tarp, Finn","Aid, Growth, and Development: Have We Come Full Circle?",2010,Arndt et al. 2010
"Ranis, Gustav",Toward the enhanced effectiveness of foreign aid,2007,Ranis 2007
